sra_accession,sample,fastq1,fastq2
SRR4309370,2,2007-2008_2.1.1.fastq,2007-2008_2.2.1.fastq
SRR4309372,3,2007-2008_3.1.1.fastq,2007-2008_3.2.1.fastq
SRR4309392,14,2007-2008_14.1.1.fastq,2007-2008_14.2.1.fastq
SRR4309393,15,2007-2008_15.1.1.fastq,2007-2008_15.2.1.fastq
SRR4309568,Brisbane,2007-2008_Brisbane.1.1.fastq,2007-2008_Brisbane.2.1.fastq
SRR4309395,16,2007-2008_16.1.1.fastq,2007-2008_16.2.1.fastq
SRR4309397,17,2007-2008_17.1.1.fastq,2007-2008_17.2.1.fastq
SRR4309399,18,2007-2008_18.1.1.fastq,2007-2008_18.2.1.fastq
SRR4309401,19,2007-2008_19.1.1.fastq,2007-2008_19.2.1.fastq
SRR4309404,22,2007-2008_22.1.1.fastq,2007-2008_22.2.1.fastq
SRR4309374,4,2007-2008_4.1.1.fastq,2007-2008_4.2.1.fastq
SRR4309408,25,2007-2008_25.1.1.fastq,2007-2008_25.2.1.fastq
SRR4309410,26,2007-2008_26.1.1.fastq,2007-2008_26.2.1.fastq
SRR4309413,27,2007-2008_27.1.1.fastq,2007-2008_27.2.1.fastq
SRR4309415,28,2007-2008_28.1.1.fastq,2007-2008_28.2.1.fastq
SRR4309419,31,2007-2008_31.1.1.fastq,2007-2008_31.2.1.fastq
SRR4309416,29,2007-2008_29.1.1.fastq,2007-2008_29.2.1.fastq
SRR4309421,33,2007-2008_33.1.1.fastq,2007-2008_33.2.1.fastq
SRR4309423,34,2007-2008_34.1.1.fastq,2007-2008_34.2.1.fastq
SRR4309376,5,2007-2008_5.1.1.fastq,2007-2008_5.2.1.fastq
SRR4309428,39,2007-2008_39.1.1.fastq,2007-2008_39.2.1.fastq
SRR4309431,41,2007-2008_41.1.1.fastq,2007-2008_41.2.1.fastq
SRR4309433,42,2007-2008_42.1.1.fastq,2007-2008_42.2.1.fastq
SRR4309435,43,2007-2008_43.1.1.fastq,2007-2008_43.2.1.fastq
SRR4309438,46,2007-2008_46.1.1.fastq,2007-2008_46.2.1.fastq
SRR4309378,6,2007-2008_6.1.1.fastq,2007-2008_6.2.1.fastq
SRR4309440,47,2007-2008_47.1.1.fastq,2007-2008_47.2.1.fastq
SRR4309442,49,2007-2008_49.1.1.fastq,2007-2008_49.2.1.fastq
SRR4309444,50,2007-2008_50.1.1.fastq,2007-2008_50.2.1.fastq
SRR4309446,51,2007-2008_51.1.1.fastq,2007-2008_51.2.1.fastq
SRR4309449,54,2007-2008_54.1.1.fastq,2007-2008_54.2.1.fastq
SRR4309451,55,2007-2008_55.1.1.fastq,2007-2008_55.2.1.fastq
SRR4309454,56,2007-2008_56.1.1.fastq,2007-2008_56.2.1.fastq
SRR4309456,57,2007-2008_57.1.1.fastq,2007-2008_57.2.1.fastq
SRR4309380,7,2007-2008_7.1.1.fastq,2007-2008_7.2.1.fastq
SRR4309460,61,2007-2008_61.1.1.fastq,2007-2008_61.2.1.fastq
SRR4309461,64,2007-2008_64.1.1.fastq,2007-2008_64.2.1.fastq
SRR4309464,66,2007-2008_66.1.1.fastq,2007-2008_66.2.1.fastq
SRR4309465,67,2007-2008_67.1.1.fastq,2007-2008_67.2.1.fastq
SRR4309469,71,2007-2008_71.1.1.fastq,2007-2008_71.2.1.fastq
SRR4309472,72,2007-2008_72.1.1.fastq,2007-2008_72.2.1.fastq
SRR4309474,73,2007-2008_73.1.1.fastq,2007-2008_73.2.1.fastq
SRR4309382,8,2007-2008_8.1.1.fastq,2007-2008_8.2.1.fastq
SRR4309476,74,2007-2008_74.1.1.fastq,2007-2008_74.2.1.fastq
SRR4309479,76,2007-2008_76.1.1.fastq,2007-2008_76.2.1.fastq
SRR4309481,78,2007-2008_78.1.1.fastq,2007-2008_78.2.1.fastq
SRR4309484,79,2007-2008_79.1.1.fastq,2007-2008_79.2.1.fastq
SRR4309486,80,2007-2008_80.1.1.fastq,2007-2008_80.2.1.fastq
SRR4309487,81,2007-2008_81.1.1.fastq,2007-2008_81.2.1.fastq
SRR4309384,10,2007-2008_10.1.1.fastq,2007-2008_10.2.1.fastq
SRR4309489,82,2007-2008_82.1.1.fastq,2007-2008_82.2.1.fastq
SRR4309492,84,2007-2008_84.1.1.fastq,2007-2008_84.2.1.fastq
SRR4309497,86,2007-2008_86.1.1.fastq,2007-2008_86.2.1.fastq
SRR4309495,85,2007-2008_85.1.1.fastq,2007-2008_85.2.1.fastq
SRR4309498,88,2007-2008_88.1.1.fastq,2007-2008_88.2.1.fastq
SRR4309501,89,2007-2008_89.1.1.fastq,2007-2008_89.2.1.fastq
SRR4298779,94,2007-2008_94.1.1.fastq.gz,2007-2008_94.2.1.fastq.gz
SRR4309386,11,2007-2008_11.1.1.fastq,2007-2008_11.2.1.fastq
SRR4298781,95,2007-2008_95.1.1.fastq.gz,2007-2008_95.2.1.fastq.gz
SRR4309509,98,2007-2008_98.1.1.fastq,2007-2008_98.2.1.fastq
SRR4309511,100,2007-2008_100.1.1.fastq,2007-2008_100.2.1.fastq
SRR4309514,101,2007-2008_101.1.1.fastq,2007-2008_101.2.1.fastq
SRR4309516,103,2007-2008_103.1.1.fastq,2007-2008_103.2.1.fastq
SRR4309518,104,2007-2008_104.1.1.fastq,2007-2008_104.2.1.fastq
SRR4309519,105,2007-2008_105.1.1.fastq,2007-2008_105.2.1.fastq
SRR4309521,106,2007-2008_106.1.1.fastq,2007-2008_106.2.1.fastq
SRR4309388,12,2007-2008_12.1.1.fastq,2007-2008_12.2.1.fastq
