sra_accession,sample,fastq1,fastq2
SRR4298674,415,Run-1412_415.1.1.fastq.gz,Run-1412_415.2.1.fastq.gz
SRR4309542,426,Run-1412_426.1.1.fastq,Run-1412_426.2.1.fastq
SRR4309544,427,Run-1412_427.1.1.fastq,Run-1412_427.2.1.fastq
SRR4298683,501,Run-1412_501.1.1.fastq.gz,Run-1412_501.2.1.fastq.gz
SRR4298684,503,Run-1412_503.2.1.fastq.gz,Run-1412_503.1.1.fastq.gz
SRR4309548,504,Run-1412_504.1.1.fastq,Run-1412_504.2.1.fastq
SRR4298686,506,Run-1412_506.1.1.fastq.gz,Run-1412_506.2.1.fastq.gz
SRR4298687,507,Run-1412_507.2.1.fastq.gz,Run-1412_507.1.1.fastq.gz
SRR4309552,508,Run-1412_508.1.1.fastq,Run-1412_508.2.1.fastq
SRR4298689,509,Run-1412_509.2.1.fastq.gz,Run-1412_509.1.1.fastq.gz
SRR4298691,510,Run-1412_510.2.1.fastq.gz,Run-1412_510.1.1.fastq.gz
SRR4298692,511,Run-1412_511.2.1.fastq.gz,Run-1412_511.1.1.fastq.gz
SRR4298693,512,Run-1412_512.2.1.fastq.gz,Run-1412_512.1.1.fastq.gz
SRR4298694,515,Run-1412_515.2.1.fastq.gz,Run-1412_515.1.1.fastq.gz
SRR4298695,517,Run-1412_517.1.1.fastq.gz,Run-1412_517.2.1.fastq.gz
SRR4298696,520,Run-1412_520.1.1.fastq.gz,Run-1412_520.2.1.fastq.gz
SRR4298697,524,Run-1412_524.1.1.fastq.gz,Run-1412_524.2.1.fastq.gz
SRR4298698,525,Run-1412_525.2.1.fastq.gz,Run-1412_525.1.1.fastq.gz
SRR4298699,528,Run-1412_528.1.1.fastq.gz,Run-1412_528.2.1.fastq.gz
SRR4309564,529,Run-1412_529.1.1.fastq,Run-1412_529.2.1.fastq
SRR4309566,530,Run-1412_530.1.1.fastq,Run-1412_530.2.1.fastq
SRR4309572,Cal-H3N2,Run-1412_CAcontrol.1.1.fastq,Run-1412_CAcontrol.2.1.fastq
SRR4309524,400,Run-1412_400.1.1.fastq,Run-1412_400.2.1.fastq
SRR4298792,401,Run-1412_401.2.1.fastq.gz,Run-1412_401.1.1.fastq.gz
SRR4309527,402,Run-1412_402.1.1.fastq,Run-1412_402.2.1.fastq
SRR4309529,403,Run-1412_403.1.1.fastq,Run-1412_403.2.1.fastq
SRR4298795,404,Run-1412_404.1.1.fastq.gz,Run-1412_404.2.1.fastq.gz
SRR4309532,406,Run-1412_406.1.1.fastq,Run-1412_406.2.1.fastq
SRR4298797,407,Run-1412_407.1.1.fastq.gz,Run-1412_407.2.1.fastq.gz
SRR4298800,412,Run-1412_412.1.1.fastq.gz,Run-1412_412.2.1.fastq.gz
SRR4309535,409,Run-1412_409.1.1.fastq,Run-1412_409.2.1.fastq
SRR4298799,411,Run-1412_411.1.1.fastq.gz,Run-1412_411.2.1.fastq.gz
SRR4309539,414,Run-1412_414.1.1.fastq,Run-1412_414.2.1.fastq
