sra_accession	bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	filename9	filename10
SRR4309370		2	2	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_2.1.1.fastq	2007-2008_2.2.1.fastq								
SRR4309371		2	2	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_2.1.1.fastq	Run-1293_2.2.1.fastq								
SRR4309372		3	3	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_3.1.1.fastq	2007-2008_3.2.1.fastq								
SRR4309373		3	3	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_3.1.1.fastq	Run-1293_3.2.1.fastq								
SRR4298673		13	13	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_13.1.1.fastq	Run-1304_13.1.2.fastq	Run-1304_13.2.1.fastq	Run-1304_13.2.2.fastq						
SRR4298674		415	415	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2548		fastq	Run-1412_415.1.1.fastq	Run-1412_415.2.1.fastq								
SRR4309541		426	426	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2549		fastq	2004-2005_426.1.1.fastq	2004-2005_426.2.1.fastq								
SRR4309542		426	426	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2550		fastq	Run-1412_426.1.1.fastq	Run-1412_426.2.1.fastq								
SRR4309543		427	427	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2551		fastq	2004-2005_427.1.1.fastq	2004-2005_427.2.1.fastq								
SRR4309544		427	427	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2552		fastq	Run-1412_427.1.1.fastq	Run-1412_427.2.1.fastq								
SRR4298683		501	501	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2553		fastq	Run-1412_501.1.1.fastq	Run-1412_501.2.1.fastq								
SRR4298684		503	503	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2554		fastq	Run-1412_503.1.1.fastq	Run-1412_503.2.1.fastq								
SRR4309547		504	504	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2555		fastq	Run-1412_504.1.1.fastq	Run-1412_504.2.1.fastq								
SRR4309548		504	504	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2556		fastq	2005-2006_504.1.1.fastq	2005-2006_504.2.1.fastq								
SRR4298686		506	506	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2557		fastq	Run-1412_506.1.1.fastq	Run-1412_506.2.1.fastq								
SRR4298687		507	507	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2558		fastq	Run-1412_507.1.1.fastq	Run-1412_507.2.1.fastq								
